Tiles
*
12.00, 3.00, 7.00
*
0.00, 0.00, 0.00*False,Forwards*0, 0, 0
4.00, 0.00, 0.00*False,Forwards*4, 0, 0
3.00, 0.00, 0.00*False,Forwards*3, 0, 0
2.00, 0.00, 0.00*False,Forwards*2, 0, 0
2.00, 2.00, 0.00*False,Forwards*2, 2, 0
1.00, 0.00, 0.00*False,Forwards*1, 0, 0
0.00, 0.00, 1.00*False,Forwards*0, 0, 1
4.00, 0.00, 1.00*False,Forwards*4, 0, 1
3.00, 0.00, 1.00*False,Forwards*3, 0, 1
2.00, 0.00, 1.00*False,Forwards*2, 0, 1
1.00, 0.00, 1.00*False,Forwards*1, 0, 1
0.00, 1.00, 4.00*False,Forwards*0, 1, 4
4.00, 0.00, 4.00*False,Forwards*4, 0, 4
4.00, 0.00, 5.00*False,Forwards*4, 0, 5
2.00, 0.00, 5.00*False,Forwards*2, 0, 5
2.00, 0.00, 7.00*False,Forwards*2, 0, 7
7.00, 0.00, 7.00*False,Forwards*7, 0, 7
7.00, 0.00, 6.00*False,Forwards*7, 0, 6
6.00, 0.00, 6.00*False,Forwards*6, 0, 6
6.00, 0.00, 5.00*False,Forwards*6, 0, 5
7.00, 0.00, 5.00*False,Forwards*7, 0, 5
6.00, 0.00, 7.00*False,Forwards*6, 0, 7
5.00, 0.00, 7.00*False,Forwards*5, 0, 7
4.00, 0.00, 7.00*False,Forwards*4, 0, 7
3.00, 0.00, 7.00*False,Forwards*3, 0, 7
2.00, 0.00, 6.00*False,Forwards*2, 0, 6
3.00, 0.00, 5.00*False,Forwards*3, 0, 5
0.00, 2.00, 3.00*True,Forwards*0, 2, 3
0.00, 2.00, 2.00*False,Forwards*0, 2, 2
0.00, 2.00, 0.00*False,Forwards*0, 2, 0
1.00, 2.00, 0.00*False,Forwards*1, 2, 0
3.00, 2.00, 0.00*False,Forwards*3, 2, 0
0.00, 2.00, 1.00*False,Forwards*0, 2, 1
4.00, 0.00, 3.00*False,Forwards*4, 0, 3
0.00, 0.00, 2.00*False,Forwards*0, 0, 2
4.00, 0.00, 2.00*False,Forwards*4, 0, 2
3.00, 0.00, 2.00*False,Forwards*3, 0, 2
3.00, 1.00, 3.00*True,Backwards*3, 1, 3
3.00, 1.00, 4.00*False,Forwards*3, 1, 4
2.00, 0.00, 2.00*False,Forwards*2, 0, 2
2.00, 1.00, 3.00*True,Backwards*2, 1, 3
2.00, 1.00, 4.00*False,Forwards*2, 1, 4
1.00, 0.00, 2.00*False,Forwards*1, 0, 2
1.00, 1.00, 3.00*True,Backwards*1, 1, 3
1.00, 1.00, 4.00*False,Forwards*1, 1, 4
fileEnd
Facility*0*(0.00, 0.00, 0.00)*(0.00000, 0.00000, 0.00000, 1.00000)*(1.00, 1.00, 1.00)
Facility*0*(0.00, 0.00, 2.00)*(0.00000, 0.00000, 0.00000, 1.00000)*(1.00, 1.00, 1.00)
Facility*0*(0.00, 0.00, 4.00)*(0.00000, 0.00000, 0.00000, 1.00000)*(1.00, 1.00, 1.00)
Facility*0*(3.00, 0.00, 4.00)*(0.00000, 0.00000, 0.00000, 1.00000)*(1.00, 1.00, 1.00)
Facility*0*(2.00, 0.00, 4.00)*(0.00000, 0.00000, 0.00000, 1.00000)*(1.00, 1.00, 1.00)
Facility*0*(1.00, 0.00, 4.00)*(0.00000, 0.00000, 0.00000, 1.00000)*(1.00, 1.00, 1.00)
Facility*0*(0.00, 1.00, 4.00)*(0.00000, 0.00000, 0.00000, 1.00000)*(1.00, 1.00, 1.00)
Facility*0*(3.00, 1.00, 4.00)*(0.00000, 0.00000, 0.00000, 1.00000)*(1.00, 1.00, 1.00)
Facility*0*(2.00, 1.00, 4.00)*(0.00000, 0.00000, 0.00000, 1.00000)*(1.00, 1.00, 1.00)
Facility*0*(1.00, 1.00, 4.00)*(0.00000, 0.00000, 0.00000, 1.00000)*(1.00, 1.00, 1.00)
Facility*0*(0.00, 1.00, 3.00)*(0.00000, 0.00000, 0.00000, 1.00000)*(1.00, 1.00, 1.00)
Facility*0*(0.00, 0.00, 3.00)*(0.00000, 0.00000, 0.00000, 1.00000)*(1.00, 1.00, 1.00)
Facility*0*(0.00, 0.00, 1.00)*(0.00000, 0.00000, 0.00000, 1.00000)*(1.00, 1.00, 1.00)
Facility*0*(3.00, 0.00, 0.00)*(0.00000, 0.00000, 0.00000, 1.00000)*(1.00, 1.00, 1.00)
Facility*0*(3.00, 0.00, 2.00)*(0.00000, 0.00000, 0.00000, 1.00000)*(1.00, 1.00, 1.00)
Facility*0*(3.00, 0.00, 1.00)*(0.00000, 0.00000, 0.00000, 1.00000)*(1.00, 1.00, 1.00)
Facility*0*(4.00, 0.00, 0.00)*(0.00000, 0.00000, 0.00000, 1.00000)*(1.00, 1.00, 1.00)
Facility*0*(4.00, 0.00, 2.00)*(0.00000, 0.00000, 0.00000, 1.00000)*(1.00, 1.00, 1.00)
Facility*0*(4.00, 0.00, 5.00)*(0.00000, 0.00000, 0.00000, 1.00000)*(1.00, 1.00, 1.00)
Facility*0*(2.00, 0.00, 5.00)*(0.00000, 0.00000, 0.00000, 1.00000)*(1.00, 1.00, 1.00)
Facility*0*(2.00, 0.00, 7.00)*(0.00000, 0.00000, 0.00000, 1.00000)*(1.00, 1.00, 1.00)
Facility*0*(7.00, 0.00, 7.00)*(0.00000, 0.00000, 0.00000, 1.00000)*(1.00, 1.00, 1.00)
Facility*0*(7.00, 0.00, 5.00)*(0.00000, 0.00000, 0.00000, 1.00000)*(1.00, 1.00, 1.00)
Facility*0*(6.00, 0.00, 5.00)*(0.00000, 0.00000, 0.00000, 1.00000)*(1.00, 1.00, 1.00)
Facility*0*(6.00, 0.00, 6.00)*(0.00000, 0.00000, 0.00000, 1.00000)*(1.00, 1.00, 1.00)
Facility*0*(7.00, 0.00, 6.00)*(0.00000, 0.00000, 0.00000, 1.00000)*(1.00, 1.00, 1.00)
Facility*0*(6.00, 0.00, 7.00)*(0.00000, 0.00000, 0.00000, 1.00000)*(1.00, 1.00, 1.00)
Facility*0*(5.00, 0.00, 7.00)*(0.00000, 0.00000, 0.00000, 1.00000)*(1.00, 1.00, 1.00)
Facility*0*(4.00, 0.00, 7.00)*(0.00000, 0.00000, 0.00000, 1.00000)*(1.00, 1.00, 1.00)
Facility*0*(3.00, 0.00, 7.00)*(0.00000, 0.00000, 0.00000, 1.00000)*(1.00, 1.00, 1.00)
Facility*0*(2.00, 0.00, 6.00)*(0.00000, 0.00000, 0.00000, 1.00000)*(1.00, 1.00, 1.00)
